id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,created,discount_price_amount,price_detail_amount,published_time_year,published_time_month,category
2655022,LinkedIn Advanced. Lead Generation Strategies For B2B Sales,True,385,4.68182,58,27,0,2019-11,455.0,5760.0,2019,11,[]
2200300,Ultimate MT4 Beginner Course! An Introduction To MetaTrader4,True,41,4.6,5,45,0,2019-02,455.0,1280.0,2019,5,[]
1912960,Proven Business Model for Digital Marketing Home Business,True,66,3.8,11,63,0,2018-09,455.0,8640.0,2018,9,[]
1564738,Javascript Programming For Everyone,True,3389,4.35,97,27,0,2018-02,455.0,8640.0,2018,2,['javascript']
2899700,How to facilitate online Scrum and Agile training with Miro,True,48,3.75,11,8,0,2020-03,455.0,8640.0,2020,3,['agile']
2716668,Python Scripting in Blender with Practical Projects,True,512,4.2931,89,28,0,2019-12,455.0,8640.0,2019,12,"['python', 'blender']"
2248778,Build Web Base Network Automation Apps using Python Django,True,438,4.29167,44,28,0,2019-03,455.0,5760.0,2020,3,"['automation', 'python', 'django']"
972948,How to make Visually Appealing and Powerful Presentations,True,506,3.75,20,11,0,2016-10,455.0,4800.0,2016,10,[]
956068,Legitimate Ways To Earn Money Online,True,3916,3.95,31,37,0,2016-09,455.0,8640.0,2016,11,[]
1473446,Oracle PL/SQL is My Game: EXAM 1Z0-144,True,6459,4.44805,1080,220,0,2017-12,455.0,8640.0,2018,1,['pl/sql']
2182946,Advanced Cyber & Social Media Intelligence Analysis,True,217,4.1,36,41,0,2019-01,455.0,8640.0,2019,2,[]
2097544,Python Concurrency Simplified,True,135,3.2,18,66,0,2018-12,455.0,8640.0,2018,12,['python']
1365554,A Practical Introduction to  Statistical Machine Translation,True,56,3.2,12,21,0,2017-09,455.0,6400.0,2018,3,[]
2312620,JavaScript Breakout Game from scratch with only JavaScript,True,2798,4.27778,9,29,0,2019-04,455.0,1280.0,2019,4,['javascript']
785782,Learn Mobile App Development with Ionic Framework,True,447,4.4,70,31,0,2016-03,455.0,2560.0,2016,3,['ionic']
2970364,"Structures, Unions, Enums for C Programming MCQ Practice",True,3357,3.75,14,0,6,2020-04,455.0,1280.0,2020,4,['c']
1736080,Forex Trading Price Action: Advanced Swing Trading Strategy,True,5262,4.609,1237,63,0,2018-06,455.0,8640.0,2018,7,[]
2454142,SQL For Beginners: Learn to communicate with databases,True,2688,4.3,20,46,0,2019-07,455.0,1280.0,2019,7,['sql']
1337374,Complete Python 3 Masterclass Journey,True,17380,4.47917,2411,108,0,2017-09,455.0,8640.0,2018,2,['python']
545250,Learn SQL with Examples - Simple Select,True,635,3.95,19,13,0,2015-07,455.0,1280.0,2015,7,['sql']
1347004,Understanding and developing Emotional Intelligence,True,13396,4.19608,5177,21,0,2017-09,474.0,3200.0,2017,10,[]
522140,QlikView Server and Publisher,True,1439,4.61765,374,64,0,2015-06,800.0,3200.0,2016,1,[]
3374562,CAMS EXAM EXTREME - 60 CASE STUDY QUESTIONS,True,17,0.0,0,0,2,2020-07,455.0,1280.0,2020,7,[]
147658,Projects in Android,True,1782,1.65,36,60,0,2014-01,455.0,3840.0,2014,8,[]
2441694,Red Hat System Administration I – SA1 (RHEL8),True,2102,4.30208,333,97,0,2019-07,455.0,6400.0,2019,7,[]
38097,Becoming A Writer,True,15279,4.3947400000000005,557,19,0,2013-01,455.0,1280.0,2013,1,[]
2904294,The Forex Terminology Course,True,1195,3.625,4,0,2,2020-03,455.0,1280.0,2020,3,[]
2323640,Cisco CCNP Route 300-101 Practice Tests,True,183,4.35,15,0,4,2019-04,455.0,6400.0,2019,4,['cisco']
145812,HTML FOR BEGINNERS,True,1802,4.3,25,16,0,2014-01,455.0,1280.0,2014,1,['html']
94448,Learn SAP Financial Accounting - Online Training,True,3772,4.27632,566,10,0,2013-09,488.0,4800.0,2013,9,['sap']
544762,Launch a Woocommerce Store Start to Finish (2015),True,1860,4.2,30,38,0,2015-07,455.0,1280.0,2015,12,[]
2006972,Blockchain for Business: How To Make Money With Blockchain,True,1179,4.0,36,12,0,2018-11,455.0,6400.0,2018,11,['blockchain']
137144,Public Speaking and Presentations Pro: No Beginners Allowed!,True,15664,4.54528,2438,14,0,2013-12,474.0,8960.0,2013,12,[]
3220433,Master Machine Translation Post Editing & Emerging Jobs,True,67,4.16667,18,18,0,2020-06,455.0,1280.0,2020,7,[]
2238782,Getting Started with .NET Core Clean Architecture,True,4005,4.38235,630,64,0,2019-02,455.0,3520.0,2019,4,"['.net', 'clean']"
3156602,Data Visualization with Tableau,True,43,4.6,10,51,0,2020-05,455.0,1280.0,2020,5,[]
1501508,Version Control with Git,True,74,3.95,10,20,0,2018-01,455.0,8000.0,2018,4,['git']
506618,LinkedIn Lectures,True,222,4.5,32,87,0,2015-05,455.0,6400.0,2015,5,[]
2301276,"Agile Scrum Training, Scrum Master Certification Prep, Tests",True,2149,4.0,22,17,2,2019-04,455.0,8640.0,2019,4,['agile']
2704762,Stock Market Course For Beginners: Complete Guide In English,True,14,3.83333,3,14,0,2019-12,455.0,1600.0,2020,1,[]
1130948,Cyberhacker Series: Hacking Applications,True,1544,3.65,10,9,0,2017-03,455.0,8640.0,2017,7,[]
2598150,FC0-U61 : CompTIA IT Fundamentals Certification Exam Updated,True,703,3.58333,6,0,3,2019-10,455.0,1920.0,2019,10,[]
